path	basename	genotype	dataset	sample	batch	platform	fname
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/	ad002_10721_lig-blk_2_t1.fastq.gz	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/ad002_10721_lig-blk_2_t1.fastq.gz
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/	ad002_10721_lig-ss_blk_1_t1.fastq.gz	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/ad002_10721_lig-ss_blk_1_t1.fastq.gz
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/	ad002_10725_lig-blk_2_t1.fastq.gz	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/ad002_10725_lig-blk_2_t1.fastq.gz
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/	ad002_10725_lig-ss_blk_1_t1.fastq.gz	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD002/ad002_trimfastq/ad002_10725_lig-ss_blk_1_t1.fastq.gz
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11616_lig-blk_1_t1.fastq	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11616_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11616_lig-blk_2_t1.fastq	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11616_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11617_lig-blk_1_t1.fastq	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11617_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11617_lig-blk_2_t1.fastq	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11617_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11625_lig-blk_1_t2.fastq	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11625_lig-blk_1_t2.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11625_lig-blk_2_t1.fastq	5xFADHEMI			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11625_lig-blk_2_t1.fastq
